text,label,template
Quick question - can I take paracetamol for a mild headache?,GREEN,en:can I take paracetamol for a mild headache?
"As a kidney patient, my urine has turned dark like cola and I feel terrible over the past week",RED,en:my urine has turned dark like cola and I feel terrible {t}
I fainted for the last two days,RED,en:I fainted {t}
"Hello, how long does a routine checkup usually take?",GREEN,en:how long does a routine checkup usually take?
There's blood when I pee since yesterday,RED,en:there's blood when I pee {t}
"As a kidney patient, I've been feeling very tired and weak since last night",YELLOW,en:I've been feeling very tired and weak {t}
"Since my kidney stone, I have no urine output since this afternoon",RED,en:I have no urine output {t}
Quick question - is there parking available at the clinic?,GREEN,en:is there parking available at the clinic?
"Good morning, is it okay to have oranges with my potassium levels?",GREEN,en:is it okay to have oranges with my potassium levels?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে পেটে হালকা ব্যথা",YELLOW,bn:{t}পেটে হালকা ব্যথা
I have CKD and blood is coming through my urine this morning,RED,en:blood is coming through my urine {t}
My doctor said I have reduced kidney function and my ankles leave a dent when I press them over the past week,YELLOW,en:my ankles leave a dent when I press them {t}
"As a kidney patient, I've been vomiting blood over the past week",RED,en:I've been vomiting blood {t}
I have stage 3 kidney disease and I've been peeing blood since last night,RED,en:I've been peeing blood {t}
"Hi, I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
"আমি ডায়ালাইসিস নিচ্ছি, কয়েকদিন ধরে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
I had a kidney transplant last year and I have pain near my kidneys since yesterday,YELLOW,en:I have pain near my kidneys {t}
কয়েকদিন ধরে পায়ে খিল ধরছে,YELLOW,bn:{t}পায়ে খিল ধরছে
"কিডনি রোগী হিসেবে বলছি, কাল রাত থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
"Hello, can I get a medical certificate for work?",GREEN,en:can I get a medical certificate for work?
"আমি ডায়ালাইসিস নিচ্ছি, শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
I'm on dialysis and I have mild abdominal discomfort since yesterday,YELLOW,en:I have mild abdominal discomfort {t}
My doctor said I have reduced kidney function and I feel dizzy when I stand up for a few days now,YELLOW,en:I feel dizzy when I stand up {t}
I had a kidney transplant last year and I've had a headache on and off for the last two days,YELLOW,en:I've had a headache on and off {t}
I've been short of breath for the last two days,RED,en:I've been short of breath {t}
Is there wheelchair access at the entrance?,GREEN,en:is there wheelchair access at the entrance?
Quick question - which foods are high in potassium that I should avoid?,GREEN,en:which foods are high in potassium that I should avoid?
I had a kidney transplant last year and I have mild abdominal discomfort over the past week,YELLOW,en:I have mild abdominal discomfort {t}
I have stage 3 kidney disease and there's blood when I pee for the last two days,RED,en:there's blood when I pee {t}
"As a kidney patient, I have severe pain in my side with a high fever and shaking chills over the past week",RED,en:I have severe pain in my side with a high fever and shaking chills {t}
I have stage 3 kidney disease and I'm not urinating as much as I used to since last night,YELLOW,en:I'm not urinating as much as I used to {t}
"Since my kidney stone, I've had muscle cramps since yesterday",YELLOW,en:I've had muscle cramps {t}
I have CKD and my blood pressure has been higher than usual since yesterday,YELLOW,en:my blood pressure has been higher than usual {t}
I have CKD and I have no urine output for the last two days,RED,en:I have no urine output {t}
Is it safe for me to exercise at the gym?,GREEN,en:is it safe for me to exercise at the gym?
"Since my kidney stone, I can't breathe properly since last night",RED,en:I can't breathe properly {t}
I have stage 3 kidney disease and I have a dull ache in my kidney area over the past week,YELLOW,en:I have a dull ache in my kidney area {t}
গত ভিজিটে সাহায্যের জন্য ধন্যবাদ,GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
"I have a sudden severe headache, the worst one of my life since yesterday",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
একটা প্রশ্ন ছিল - ব্যায়াম করা কি আমার জন্য নিরাপদ?,GREEN,bn:ব্যায়াম করা কি আমার জন্য নিরাপদ?
I had a kidney transplant last year and I have severe abdominal pain that won't go away this morning,RED,en:I have severe abdominal pain that won't go away {t}
প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?,GREEN,bn:প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?
"Since my kidney stone, my face looks puffy over the past week",YELLOW,en:my face looks puffy {t}
"Good morning, is it safe for me to exercise at the gym?",GREEN,en:is it safe for me to exercise at the gym?
"আমার কিডনি রোগ আছে, দুই দিন ধরে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
"As a kidney patient, I've been short of breath since this afternoon",RED,en:I've been short of breath {t}
My doctor said I have reduced kidney function and I feel severely confused since yesterday,RED,en:I feel severely confused {t}
I had a kidney transplant last year and my legs are hugely swollen and now it's hard to lie flat since this afternoon,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"আসসালামু আলাইকুম, প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?",GREEN,bn:প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?
I have CKD and I passed out for the last two days,RED,en:I passed out {t}
Quick question - can I reschedule my lab test to the morning?,GREEN,en:can I reschedule my lab test to the morning?
"Please, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
আজ সকাল থেকে প্রস্রাবে ফেনা হচ্ছে,YELLOW,bn:{t}প্রস্রাবে ফেনা হচ্ছে
I'm on dialysis and I've been vomiting blood since yesterday,RED,en:I've been vomiting blood {t}
দুই দিন ধরে বুকে ব্যথা করছে,RED,bn:{t}বুকে ব্যথা করছে
"Please, can I switch to an evening dialysis slot?",GREEN,en:can I switch to an evening dialysis slot?
I feel nauseous and have lost my appetite since last night,YELLOW,en:I feel nauseous and have lost my appetite {t}
My doctor said I have reduced kidney function and I'm not urinating as much as I used to this morning,YELLOW,en:I'm not urinating as much as I used to {t}
I have CKD and I've had trouble concentrating and feel foggy over the past week,YELLOW,en:I've had trouble concentrating and feel foggy {t}
I had a kidney transplant last year and I have severe abdominal pain that won't go away for a few days now,RED,en:I have severe abdominal pain that won't go away {t}
"কিডনি রোগী হিসেবে বলছি, বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
কলা খেতে পারব কি?,GREEN,bn:কলা খেতে পারব কি?
"Good morning, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
কোমরে ব্যথা করছে,YELLOW,bn:{t}কোমরে ব্যথা করছে
My doctor said I have reduced kidney function and I think I had a seizure over the past week,RED,en:I think I had a seizure {t}
Quick question - is it safe for me to exercise at the gym?,GREEN,en:is it safe for me to exercise at the gym?
I've been throwing up nonstop and can't keep any water down since last night,RED,en:I've been throwing up nonstop and can't keep any water down {t}
I'm on dialysis and my urine smells different than usual since this afternoon,YELLOW,en:my urine smells different than usual {t}
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills this morning,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
Should I take my phosphate binder before or after meals?,GREEN,en:should I take my phosphate binder before or after meals?
I have stage 3 kidney disease and my urine smells different than usual since last night,YELLOW,en:my urine smells different than usual {t}
"As a kidney patient, I have pain near my kidneys for the last two days",YELLOW,en:I have pain near my kidneys {t}
"Since my kidney stone, blood is coming through my urine since this afternoon",RED,en:blood is coming through my urine {t}
"Since my kidney stone, my urine smells different than usual since this afternoon",YELLOW,en:my urine smells different than usual {t}
"Please, do I need to fast before my blood test?",GREEN,en:do I need to fast before my blood test?
My doctor said I have reduced kidney function and I noticed blood in my urine for the last two days,RED,en:I noticed blood in my urine {t}
I'm on dialysis and I have some abdominal pain since last night,YELLOW,en:I have some abdominal pain {t}
"Since my kidney stone, I'm going to the bathroom less often since last night",YELLOW,en:I'm going to the bathroom less often {t}
I have CKD and this is the worst headache I've ever had this morning,RED,en:this is the worst headache I've ever had {t}
I've been peeing blood for the last two days,RED,en:I've been peeing blood {t}
"Since my kidney stone, I have some abdominal pain since last night",YELLOW,en:I have some abdominal pain {t}
"আমার কিডনি রোগ আছে, গতকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat for a few days now,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"As a kidney patient, I've had a headache on and off over the past week",YELLOW,en:I've had a headache on and off {t}
I had a kidney transplant last year and I've been feeling very tired and weak since this afternoon,YELLOW,en:I've been feeling very tired and weak {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
I passed out for the last two days,RED,en:I passed out {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
"Please, what documents do I need for my next visit?",GREEN,en:what documents do I need for my next visit?
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
বিল কি অনলাইনে দেওয়া যাবে?,GREEN,bn:বিল কি অনলাইনে দেওয়া যাবে?
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"Please, I need to reschedule my appointment next week",GREEN,en:I need to reschedule my appointment next week
"আসসালামু আলাইকুম, ভাত কতটুকু খাওয়া যাবে?",GREEN,bn:ভাত কতটুকু খাওয়া যাবে?
My doctor said I have reduced kidney function and I have some discomfort around my kidneys over the past week,YELLOW,en:I have some discomfort around my kidneys {t}
"Hi, I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
I have stage 3 kidney disease and there's blood when I pee for a few days now,RED,en:there's blood when I pee {t}
I had a kidney transplant last year and there's a metallic taste in my mouth for a few days now,YELLOW,en:there's a metallic taste in my mouth {t}
I had a kidney transplant last year and I fainted since last night,RED,en:I fainted {t}
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে কোমরে ব্যথা করছে",YELLOW,bn:{t}কোমরে ব্যথা করছে
I have stage 3 kidney disease and I feel dizzy when I stand up this morning,YELLOW,en:I feel dizzy when I stand up {t}
"Hi, is it normal to get an occasional mild headache?",GREEN,en:is it normal to get an occasional mild headache?
I had a kidney transplant last year and this is the worst headache I've ever had over the past week,RED,en:this is the worst headache I've ever had {t}
কয়েকদিন ধরে খিঁচুনি হয়েছে,RED,bn:{t}খিঁচুনি হয়েছে
"আমার কিডনি রোগ আছে, গতকাল থেকে পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে আগের চেয়ে কম প্রস্রাব হচ্ছে",YELLOW,bn:{t}আগের চেয়ে কম প্রস্রাব হচ্ছে
I have severe abdominal pain that won't go away for a few days now,RED,en:I have severe abdominal pain that won't go away {t}
I'm on dialysis and I fainted since last night,RED,en:I fainted {t}
I had a kidney transplant last year and I've been peeing blood this morning,RED,en:I've been peeing blood {t}
"As a kidney patient, I'm having chest pain since yesterday",RED,en:I'm having chest pain {t}
"কিডনি রোগী হিসেবে বলছি, আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
"Please, is there parking available at the clinic?",GREEN,en:is there parking available at the clinic?
"Since my kidney stone, I feel severely confused for the last two days",RED,en:I feel severely confused {t}
"Since my kidney stone, blood is coming through my urine for the last two days",RED,en:blood is coming through my urine {t}
I have stage 3 kidney disease and my heartbeat feels irregular and I'm very weak and dizzy since yesterday,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"আসসালামু আলাইকুম, বিল কি অনলাইনে দেওয়া যাবে?",GREEN,bn:বিল কি অনলাইনে দেওয়া যাবে?
I have CKD and I'm peeing much less than before this morning,YELLOW,en:I'm peeing much less than before {t}
I have stage 3 kidney disease and my heartbeat feels irregular and I'm very weak and dizzy for a few days now,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
I have CKD and I've had trouble concentrating and feel foggy for the last two days,YELLOW,en:I've had trouble concentrating and feel foggy {t}
"দয়া করে জানাবেন, রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?",GREEN,bn:রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?
"Since my kidney stone, my urine output seems lower than normal over the past week",YELLOW,en:my urine output seems lower than normal {t}
"আমার কিডনি রোগ আছে, দুই দিন ধরে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
"As a kidney patient, I have some discomfort around my kidneys this morning",YELLOW,en:I have some discomfort around my kidneys {t}
"Please, is it safe for me to exercise at the gym?",GREEN,en:is it safe for me to exercise at the gym?
কাল রাত থেকে মাথা ঘোরাচ্ছে,YELLOW,bn:{t}মাথা ঘোরাচ্ছে
"As a kidney patient, I have severe abdominal pain that won't go away for the last two days",RED,en:I have severe abdominal pain that won't go away {t}
"Since my kidney stone, I've been short of breath since this afternoon",RED,en:I've been short of breath {t}
"Hi, can I drink coffee on my dialysis days?",GREEN,en:can I drink coffee on my dialysis days?
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে প্রস্রাবে ফেনা হচ্ছে",YELLOW,bn:{t}প্রস্রাবে ফেনা হচ্ছে
কাল রাত থেকে খুব ক্লান্ত লাগছে,YELLOW,bn:{t}খুব ক্লান্ত লাগছে
"দয়া করে জানাবেন, প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?",GREEN,bn:প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?
"দয়া করে জানাবেন, আমি কি বিমানে ভ্রমণ করতে পারব?",GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
"Please, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
My doctor said I have reduced kidney function and I've been feeling very tired and weak this morning,YELLOW,en:I've been feeling very tired and weak {t}
"Hello, how many cups of fluid can I have daily?",GREEN,en:how many cups of fluid can I have daily?
একটা প্রশ্ন ছিল - পরের ভিজিট কবে?,GREEN,bn:পরের ভিজিট কবে?
"আমার কিডনি রোগ আছে, দুই দিন ধরে শ্বাস নিতে খুব কষ্ট হচ্ছে",RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
"Hello, is it safe for me to exercise at the gym?",GREEN,en:is it safe for me to exercise at the gym?
"Hello, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
My doctor said I have reduced kidney function and I can't catch my breath and my chest feels tight,RED,en:I can't catch my breath and my chest feels tight
My doctor said I have reduced kidney function and I can't breathe properly this morning,RED,en:I can't breathe properly {t}
I had a kidney transplant last year and this is the worst headache I've ever had since yesterday,RED,en:this is the worst headache I've ever had {t}
I have CKD and I have flank pain since this afternoon,YELLOW,en:I have flank pain {t}
I'm on dialysis and I noticed blood in my urine since this afternoon,RED,en:I noticed blood in my urine {t}
My doctor said I have reduced kidney function and I fainted for a few days now,RED,en:I fainted {t}
"আমি ডায়ালাইসিস নিচ্ছি, গতকাল থেকে প্রস্রাব করতে পারছি না",RED,bn:{t}প্রস্রাব করতে পারছি না
"Since my kidney stone, I feel nauseous and have lost my appetite for a few days now",YELLOW,en:I feel nauseous and have lost my appetite {t}
My doctor said I have reduced kidney function and my hands and feet feel swollen since last night,YELLOW,en:my hands and feet feel swollen {t}
I have CKD and my abdominal pain is severe and I also have a high fever since last night,RED,en:my abdominal pain is severe and I also have a high fever {t}
I've been sleeping badly and feel restless for the last two days,YELLOW,en:I've been sleeping badly and feel restless {t}
Quick question - are my last lab results available yet?,GREEN,en:are my last lab results available yet?
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"Since my kidney stone, I think I had a seizure over the past week",RED,en:I think I had a seizure {t}
Is it okay to have oranges with my potassium levels?,GREEN,en:is it okay to have oranges with my potassium levels?
"Please, is it fine to have yogurt on my diet?",GREEN,en:is it fine to have yogurt on my diet?
"Since my kidney stone, there's blood when I pee this morning",RED,en:there's blood when I pee {t}
I'm on dialysis and I've had trouble concentrating and feel foggy since yesterday,YELLOW,en:I've had trouble concentrating and feel foggy {t}
"আমি ডায়ালাইসিস নিচ্ছি, হালকা জ্বর এসেছে",YELLOW,bn:{t}হালকা জ্বর এসেছে
I passed out since this afternoon,RED,en:I passed out {t}
রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?,GREEN,bn:রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?
"Please, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে দম বন্ধ হয়ে আসছে",RED,bn:{t}দম বন্ধ হয়ে আসছে
I have CKD and I haven't been going to the bathroom as much since yesterday,YELLOW,en:I haven't been going to the bathroom as much {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
"আসসালামু আলাইকুম, পরের ভিজিট কবে?",GREEN,bn:পরের ভিজিট কবে?
I have CKD and my urination has decreased over the past week,YELLOW,en:my urination has decreased {t}
Quick question - is the pharmacy open after 6 pm?,GREEN,en:is the pharmacy open after 6 pm?
I passed out since last night,RED,en:I passed out {t}
Quick question - should I bring my previous reports to the appointment?,GREEN,en:should I bring my previous reports to the appointment?
"Since my kidney stone, I have a sudden severe headache, the worst one of my life for a few days now",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
"আমার কিডনি রোগ আছে, গতকাল থেকে মুখে ধাতব স্বাদ লাগছে",YELLOW,bn:{t}মুখে ধাতব স্বাদ লাগছে
"Good morning, can I switch to an evening dialysis slot?",GREEN,en:can I switch to an evening dialysis slot?
I have CKD and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"Good morning, can my family member pick up my medication?",GREEN,en:can my family member pick up my medication?
"Please, can I pay my bill online?",GREEN,en:can I pay my bill online?
আজ সকাল থেকে রক্ত বমি হচ্ছে,RED,bn:{t}রক্ত বমি হচ্ছে
I have stage 3 kidney disease and I noticed blood in my urine for the last two days,RED,en:I noticed blood in my urine {t}
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills since last night,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"Please, how do I sign up for the patient portal?",GREEN,en:how do I sign up for the patient portal?
I had a kidney transplant last year and I feel severely confused for the last two days,RED,en:I feel severely confused {t}
My doctor said I have reduced kidney function and I've been short of breath this morning,RED,en:I've been short of breath {t}
I have stage 3 kidney disease and I have heavy bleeding that won't stop since this afternoon,RED,en:I have heavy bleeding that won't stop {t}
Is there parking available at the clinic?,GREEN,en:is there parking available at the clinic?
"Hi, can I switch to an evening dialysis slot?",GREEN,en:can I switch to an evening dialysis slot?
How many cups of fluid can I have daily?,GREEN,en:how many cups of fluid can I have daily?
"Since my kidney stone, I've been peeing blood for a few days now",RED,en:I've been peeing blood {t}
"আমি ডায়ালাইসিস নিচ্ছি, পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
I had a kidney transplant last year and I feel nauseous and have lost my appetite for the last two days,YELLOW,en:I feel nauseous and have lost my appetite {t}
"দয়া করে জানাবেন, ওষুধ কি খাবারের আগে না পরে খাব?",GREEN,bn:ওষুধ কি খাবারের আগে না পরে খাব?
My doctor said I have reduced kidney function and I have a headache for the last two days,YELLOW,en:I have a headache {t}
I have pain near my kidneys this morning,YELLOW,en:I have pain near my kidneys {t}
"Since my kidney stone, I have severe abdominal pain that won't go away for the last two days",RED,en:I have severe abdominal pain that won't go away {t}
Can I pay my bill online?,GREEN,en:can I pay my bill online?
I have stage 3 kidney disease and my legs and ankles have been swelling since last night,YELLOW,en:my legs and ankles have been swelling {t}
"আমার কিডনি রোগ আছে, কাল রাত থেকে সারা শরীর চুলকাচ্ছে",YELLOW,bn:{t}সারা শরীর চুলকাচ্ছে
"আমি ডায়ালাইসিস নিচ্ছি, আজ সকাল থেকে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
I have stage 3 kidney disease and my legs are hugely swollen and now it's hard to lie flat this morning,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"As a kidney patient, I have some discomfort around my kidneys since this afternoon",YELLOW,en:I have some discomfort around my kidneys {t}
"Hello, I'd like to request a refill of my blood pressure medication",GREEN,en:I'd like to request a refill of my blood pressure medication
"আমার কিডনি রোগ আছে, খুব দুর্বল লাগছে",YELLOW,bn:{t}খুব দুর্বল লাগছে
"Good morning, is it fine to have yogurt on my diet?",GREEN,en:is it fine to have yogurt on my diet?
I have CKD and I've been feeling very tired and weak for a few days now,YELLOW,en:I've been feeling very tired and weak {t}
"Good morning, thank you for the help during my last visit",GREEN,en:thank you for the help during my last visit
দুই দিন ধরে রক্ত বমি হচ্ছে,RED,bn:{t}রক্ত বমি হচ্ছে
"আসসালামু আলাইকুম, দিনে কতটুকু পানি খাব?",GREEN,bn:দিনে কতটুকু পানি খাব?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে খেতে ইচ্ছে করছে না",YELLOW,bn:{t}খেতে ইচ্ছে করছে না
I've been urinating less than usual for the last two days,YELLOW,en:I've been urinating less than usual {t}
"Since my kidney stone, my urine looks foamy over the past week",YELLOW,en:my urine looks foamy {t}
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
I had a kidney transplant last year and I'm going to the bathroom less often this morning,YELLOW,en:I'm going to the bathroom less often {t}
"Good morning, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
I had a kidney transplant last year and I've been short of breath since yesterday,RED,en:I've been short of breath {t}
I had a kidney transplant last year and my hands and feet feel swollen over the past week,YELLOW,en:my hands and feet feel swollen {t}
"আমি ডায়ালাইসিস নিচ্ছি, আগের চেয়ে কম প্রস্রাব হচ্ছে",YELLOW,bn:{t}আগের চেয়ে কম প্রস্রাব হচ্ছে
"Since my kidney stone, this is the worst headache I've ever had for the last two days",RED,en:this is the worst headache I've ever had {t}
"Good morning, should I bring my previous reports to the appointment?",GREEN,en:should I bring my previous reports to the appointment?
I had a kidney transplant last year and I'm extremely drowsy and can barely stay awake over the past week,RED,en:I'm extremely drowsy and can barely stay awake {t}
আজ সকাল থেকে মুখ ফুলে গেছে,YELLOW,bn:{t}মুখ ফুলে গেছে
My doctor said I have reduced kidney function and there's blood in my urine and it won't stop,RED,en:there's blood in my urine and it won't stop
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
Is it normal to get an occasional mild headache?,GREEN,en:is it normal to get an occasional mild headache?
"Since my kidney stone, I fainted since last night",RED,en:I fainted {t}
I have stage 3 kidney disease and I feel nauseous and have lost my appetite this morning,YELLOW,en:I feel nauseous and have lost my appetite {t}
I'm not urinating as much as I used to for a few days now,YELLOW,en:I'm not urinating as much as I used to {t}
"Since my kidney stone, there's blood when I pee for a few days now",RED,en:there's blood when I pee {t}
"দয়া করে জানাবেন, কলা খেতে পারব কি?",GREEN,bn:কলা খেতে পারব কি?
I had a kidney transplant last year and I haven't been going to the bathroom as much since this afternoon,YELLOW,en:I haven't been going to the bathroom as much {t}
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে রক্তচাপ স্বাভাবিকের চেয়ে বেশি",YELLOW,bn:{t}রক্তচাপ স্বাভাবিকের চেয়ে বেশি
"Hi, can I get a medical certificate for work?",GREEN,en:can I get a medical certificate for work?
I have CKD and I noticed blood in my urine since this afternoon,RED,en:I noticed blood in my urine {t}
"Hello, how do I sign up for the patient portal?",GREEN,en:how do I sign up for the patient portal?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে পায়ে খিল ধরছে",YELLOW,bn:{t}পায়ে খিল ধরছে
"Since my kidney stone, I've been short of breath for a few days now",RED,en:I've been short of breath {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে অজ্ঞান হয়ে গিয়েছিলাম",RED,bn:{t}অজ্ঞান হয়ে গিয়েছিলাম
"Good morning, can you send me a copy of my prescription?",GREEN,en:can you send me a copy of my prescription?
"Please, can my family member pick up my medication?",GREEN,en:can my family member pick up my medication?
"As a kidney patient, I have no urine output since yesterday",RED,en:I have no urine output {t}
I had a kidney transplant last year and I have some discomfort around my kidneys over the past week,YELLOW,en:I have some discomfort around my kidneys {t}
"আমি ডায়ালাইসিস নিচ্ছি, আজ সকাল থেকে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
"I'm on dialysis and I have a sudden severe headache, the worst one of my life for the last two days",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
একটা প্রশ্ন ছিল - আমি কি বিমানে ভ্রমণ করতে পারব?,GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
My doctor said I have reduced kidney function and I've been vomiting blood since last night,RED,en:I've been vomiting blood {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
I had a kidney transplant last year and I have pain near my kidneys since this afternoon,YELLOW,en:I have pain near my kidneys {t}
কয়েকদিন ধরে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে,RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
Quick question - I need to reschedule my appointment next week,GREEN,en:I need to reschedule my appointment next week
"Hello, should I take my phosphate binder before or after meals?",GREEN,en:should I take my phosphate binder before or after meals?
I'm on dialysis and I think I had a seizure over the past week,RED,en:I think I had a seizure {t}
"I had a kidney transplant last year and not peeing much lately, is that normal?",YELLOW,"en:not peeing much lately, is that normal?"
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
I can't breathe properly for a few days now,RED,en:I can't breathe properly {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
"Good morning, is there parking available at the clinic?",GREEN,en:is there parking available at the clinic?
Quick question - can I get a medical certificate for work?,GREEN,en:can I get a medical certificate for work?
I had a kidney transplant last year and I've been short of breath since this afternoon,RED,en:I've been short of breath {t}
My doctor said I have reduced kidney function and my urine output seems lower than normal since last night,YELLOW,en:my urine output seems lower than normal {t}
I have stage 3 kidney disease and I haven't been peeing much lately,YELLOW,en:I haven't been peeing much lately
"As a kidney patient, blood is coming through my urine since yesterday",RED,en:blood is coming through my urine {t}
I'm on dialysis and I have pain near my kidneys this morning,YELLOW,en:I have pain near my kidneys {t}
"Good morning, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
I have some abdominal pain this morning,YELLOW,en:I have some abdominal pain {t}
I had a kidney transplant last year and I have flank pain since this afternoon,YELLOW,en:I have flank pain {t}
"Good morning, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
"As a kidney patient, there's blood when I pee this morning",RED,en:there's blood when I pee {t}
