text,label
"Please, is there wheelchair access at the entrance?",GREEN
I have stage 3 kidney disease and I'm having chest pain for a few days now,RED
I have CKD and my side hurts near where my kidney is since last night,YELLOW
"Please, how long does a routine checkup usually take?",GREEN
"Hi, what documents do I need for my next visit?",GREEN
"Since my kidney stone, my legs are hugely swollen and now it's hard to lie flat this morning",RED
Is it safe for me to exercise at the gym?,GREEN
"Since my kidney stone, I haven't passed any urine for a few days now",RED
I had a kidney transplant last year and my urination has decreased for a few days now,YELLOW
I'm on dialysis and my hands and feet feel swollen since yesterday,YELLOW
When is my next follow-up scheduled?,GREEN
My doctor said I have reduced kidney function and I have no urine output since last night,RED
I'm having chest pain since yesterday,RED
"Since my kidney stone, I think I had a seizure this morning",RED
I have flank pain for the last two days,YELLOW
"Good morning, when is my next follow-up scheduled?",GREEN
I had a kidney transplant last year and I feel severely confused this morning,RED
I can't breathe properly for the last two days,RED
Quick question - I'd like to request a refill of my blood pressure medication,GREEN
Can I book an appointment for next Monday?,GREEN
"Hi, can I reschedule my lab test to the morning?",GREEN
"Since my kidney stone, I've been feeling very tired and weak since yesterday",YELLOW
I'm on dialysis and I'm having chest pain since yesterday,RED
"Hello, can I switch to an evening dialysis slot?",GREEN
Can I take paracetamol for a mild headache?,GREEN
Quick question - should I take my phosphate binder before or after meals?,GREEN
I have stage 3 kidney disease and my urine has turned dark like cola and I feel terrible over the past week,RED
My doctor said I have reduced kidney function and I've been really itchy all over since yesterday,YELLOW
My doctor said I have reduced kidney function and I'm having chest pain since this afternoon,RED
I can't breathe properly since yesterday,RED
"Since my kidney stone, I'm going to the bathroom less often over the past week",YELLOW
I have CKD and I feel nauseous and have lost my appetite this morning,YELLOW
I have stage 3 kidney disease and I have no urine output for a few days now,RED
"Please, can I get a medical certificate for work?",GREEN
"As a kidney patient, there's blood when I pee since last night",RED
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills since last night,RED
"As a kidney patient, I've been really itchy all over over the past week",YELLOW
I'm on dialysis and I noticed blood in my urine since yesterday,RED
Quick question - can I switch to an evening dialysis slot?,GREEN
I have CKD and I haven't been going to the bathroom as much this morning,YELLOW
"Hi, is brown rice okay for my diet?",GREEN
"Please, are my last lab results available yet?",GREEN
My face looks puffy since this afternoon,YELLOW
"Since my kidney stone, I've had trouble concentrating and feel foggy since yesterday",YELLOW
I have CKD and my blood pressure has been higher than usual since this afternoon,YELLOW
Is there wheelchair access at the entrance?,GREEN
"Good morning, what should my daily water intake be?",GREEN
I'm on dialysis and I've been feeling very tired and weak for the last two days,YELLOW
My doctor said I have reduced kidney function and there's blood when I pee over the past week,RED
"Hello, can I reschedule my lab test to the morning?",GREEN
I have CKD and I haven't passed any urine since yesterday,RED
I'm on dialysis and I have pain near my kidneys since this afternoon,YELLOW
I have stage 3 kidney disease and my eyes are puffy in the mornings over the past week,YELLOW
I'm on dialysis and I've been short of breath for a few days now,RED
"Please, can I book an appointment for next Monday?",GREEN
"As a kidney patient, I haven't passed any urine since yesterday",RED
I have stage 3 kidney disease and I can't breathe properly since last night,RED
"As a kidney patient, I feel dizzy when I stand up this morning",YELLOW
I feel dizzy when I stand up for a few days now,YELLOW
"As a kidney patient, I haven't been going to the bathroom as much for the last two days",YELLOW
I had a kidney transplant last year and blood is coming through my urine since yesterday,RED
"Since my kidney stone, my hands and feet feel swollen for a few days now",YELLOW
"Hi, are my last lab results available yet?",GREEN
"Good morning, can I take paracetamol for a mild headache?",GREEN
"As a kidney patient, I'm extremely drowsy and can barely stay awake for the last two days",RED
My doctor said I have reduced kidney function and blood is coming through my urine for the last two days,RED
I'm on dialysis and my face looks puffy since this afternoon,YELLOW
What should my daily water intake be?,GREEN
"As a kidney patient, I've been throwing up nonstop and can't keep any water down since last night",RED
I'm on dialysis and I feel severely confused for the last two days,RED
I had a kidney transplant last year and I've gained a few kilos since yesterday and feel bloated,YELLOW
I'm on dialysis and I have some discomfort around my kidneys since this afternoon,YELLOW
"Hello, do I need to fast before my blood test?",GREEN
Quick question - should I bring my previous reports to the appointment?,GREEN
"As a kidney patient, I have a mild fever since this afternoon",YELLOW
I have CKD and I have severe pain in my side with a high fever and shaking chills for a few days now,RED
"Hello, is it fine to have yogurt on my diet?",GREEN
I have CKD and my heartbeat feels irregular and I'm very weak and dizzy since last night,RED
"Good morning, how do I sign up for the patient portal?",GREEN
I have CKD and there's a metallic taste in my mouth since this afternoon,YELLOW
"Since my kidney stone, I've been short of breath since this afternoon",RED
"Since my kidney stone, I've been peeing blood for the last two days",RED
Quick question - how much salt is safe for me per day?,GREEN
My doctor said I have reduced kidney function and I haven't passed any urine for the last two days,RED
My doctor said I have reduced kidney function and I've been short of breath over the past week,RED
I'm on dialysis and I have heavy bleeding that won't stop over the past week,RED
I have CKD and I've gained a few kilos since last night and feel bloated,YELLOW
I have stage 3 kidney disease and my heartbeat feels irregular and I'm very weak and dizzy since this afternoon,RED
I have stage 3 kidney disease and my legs and ankles have been swelling for the last two days,YELLOW
"Hi, what should my daily water intake be?",GREEN
"Hi, should I bring my previous reports to the appointment?",GREEN
I passed out for the last two days,RED
I need to reschedule my appointment next week,GREEN
"Please, can I travel by plane next month?",GREEN
Can you send me a copy of my prescription?,GREEN
"Please, can I take paracetamol for a mild headache?",GREEN
"As a kidney patient, my legs and ankles have been swelling since last night",YELLOW
Should I bring my previous reports to the appointment?,GREEN
"As a kidney patient, my urine looks foamy for a few days now",YELLOW
I had a kidney transplant last year and my urination has decreased over the past week,YELLOW
"Since my kidney stone, I've had muscle cramps since this afternoon",YELLOW
I have heavy bleeding that won't stop since yesterday,RED
I've been throwing up nonstop and can't keep any water down for the last two days,RED
My doctor said I have reduced kidney function and my legs are hugely swollen and now it's hard to lie flat since last night,RED
How long does a routine checkup usually take?,GREEN
My hands and feet feel swollen since last night,YELLOW
My doctor said I have reduced kidney function and I think I had a seizure since this afternoon,RED
Quick question - can I get my flu vaccination at the clinic?,GREEN
I had a kidney transplant last year and my urine has turned dark like cola and I feel terrible since last night,RED
I've had a dull headache and feel a bit off since last night,YELLOW
"Since my kidney stone, there's blood when I pee over the past week",RED
"Hi, is there parking available at the clinic?",GREEN
"Hello, can I eat bananas on my current diet?",GREEN
"Hello, can I eat tomatoes with my condition?",GREEN
"As a kidney patient, I have some discomfort around my kidneys since yesterday",YELLOW
I have CKD and my back is hurting near my kidneys since yesterday,YELLOW
"Hi, I'd like to request a refill of my blood pressure medication",GREEN
I have stage 3 kidney disease and I've gained a few kilos over the past week and feel bloated,YELLOW
Which foods are high in potassium that I should avoid?,GREEN
Can I pay my bill online?,GREEN
Quick question - can you send me a copy of my prescription?,GREEN
"Good morning, thank you for the help during my last visit",GREEN
Is brown rice okay for my diet?,GREEN
I have stage 3 kidney disease and I haven't been going to the bathroom as much over the past week,YELLOW
I have stage 3 kidney disease and I feel nauseous and have lost my appetite since yesterday,YELLOW
My doctor said I have reduced kidney function and I noticed blood in my urine for the last two days,RED
I'm on dialysis and I feel severely confused for a few days now,RED
"Since my kidney stone, I've been short of breath since yesterday",RED
"Hello, what time is my dialysis session tomorrow?",GREEN
I have CKD and I've been really itchy all over since last night,YELLOW
I'm on dialysis and I've had a dull headache and feel a bit off over the past week,YELLOW
"Please, does the clinic open on weekends?",GREEN
