text,label
My doctor said I have reduced kidney function and my heartbeat feels irregular and I'm very weak and dizzy for a few days now,RED
I have stage 3 kidney disease and I'm peeing much less than before since yesterday,YELLOW
"Since my kidney stone, I have pain near my kidneys since yesterday",YELLOW
Quick question - do I need to fast before my blood test?,GREEN
"Good morning, can you send me a copy of my prescription?",GREEN
I had a kidney transplant last year and my legs are hugely swollen and now it's hard to lie flat over the past week,RED
"Please, which foods are high in potassium that I should avoid?",GREEN
"Hello, how do I sign up for the patient portal?",GREEN
"Please, is brown rice okay for my diet?",GREEN
I have CKD and I'm extremely drowsy and can barely stay awake since this afternoon,RED
I have stage 3 kidney disease and I've been feeling very tired and weak this morning,YELLOW
I have CKD and I have a headache since yesterday,YELLOW
"Please, are my last lab results available yet?",GREEN
My doctor said I have reduced kidney function and my eyes are puffy in the mornings since yesterday,YELLOW
"Please, is there parking available at the clinic?",GREEN
I've been feeling very tired and weak since last night,YELLOW
I'm on dialysis and I've had trouble concentrating and feel foggy since last night,YELLOW
I had a kidney transplant last year and there's blood when I pee since last night,RED
My whole body is swelling and I feel like I'm drowning when I lie down,RED
"As a kidney patient, I noticed blood in my urine since last night",RED
I have CKD and I'm going to the bathroom less often over the past week,YELLOW
I had a kidney transplant last year and I have flank pain since yesterday,YELLOW
I have stage 3 kidney disease and I'm peeing much less than before for the last two days,YELLOW
I have stage 3 kidney disease and I'm not urinating as much as I used to for a few days now,YELLOW
"Since my kidney stone, I've had a dull headache and feel a bit off for a few days now",YELLOW
"Hello, do I need to fast before my blood test?",GREEN
My doctor said I have reduced kidney function and I'm peeing much less than before for a few days now,YELLOW
"Please, thank you for the help during my last visit",GREEN
Quick question - how do I sign up for the patient portal?,GREEN
Can I get my flu vaccination at the clinic?,GREEN
"Hi, how do I sign up for the patient portal?",GREEN
Can I get a medical certificate for work?,GREEN
"Please, can I eat tomatoes with my condition?",GREEN
"As a kidney patient, I have heavy bleeding that won't stop since this afternoon",RED
My doctor said I have reduced kidney function and I've been sleeping badly and feel restless since yesterday,YELLOW
I'm on dialysis and I think I had a seizure since last night,RED
"As a kidney patient, I have some abdominal pain over the past week",YELLOW
Can I book an appointment for next Monday?,GREEN
I have stage 3 kidney disease and I can't breathe properly for a few days now,RED
My doctor said I have reduced kidney function and my heartbeat feels irregular and I'm very weak and dizzy since this afternoon,RED
Can I eat tomatoes with my condition?,GREEN
"Since my kidney stone, I have mild abdominal discomfort since yesterday",YELLOW
I'm on dialysis and my back is hurting near my kidneys since yesterday,YELLOW
I have stage 3 kidney disease and I have a headache for a few days now,YELLOW
My doctor said I have reduced kidney function and I have a dull ache in my kidney area since this afternoon,YELLOW
"Hello, are my last lab results available yet?",GREEN
I have pain near my kidneys over the past week,YELLOW
What should my daily water intake be?,GREEN
I have stage 3 kidney disease and I can't catch my breath and my chest feels tight,RED
I can't breathe properly since yesterday,RED
I'd like to request a refill of my blood pressure medication,GREEN
I'm on dialysis and I have severe abdominal pain that won't go away for the last two days,RED
I'm on dialysis and my face looks puffy over the past week,YELLOW
I have CKD and this is the worst headache I've ever had for a few days now,RED
Quick question - when is my next follow-up scheduled?,GREEN
"Hi, can I eat tomatoes with my condition?",GREEN
I had a kidney transplant last year and I can't breathe properly since this afternoon,RED
I have stage 3 kidney disease and my urination has decreased since last night,YELLOW
"Hello, can I eat bananas on my current diet?",GREEN
I'm on dialysis and I have some abdominal pain since yesterday,YELLOW
"As a kidney patient, hardly went to the bathroom today",YELLOW
I had a kidney transplant last year and I've been feeling very tired and weak since last night,YELLOW
"As a kidney patient, my side hurts near where my kidney is since last night",YELLOW
"Good morning, is there parking available at the clinic?",GREEN
I have CKD and blood is coming through my urine since yesterday,RED
"Hi, can I travel by plane next month?",GREEN
I have CKD and hardly went to the bathroom today,YELLOW
I have CKD and I feel severely confused for a few days now,RED
"Since my kidney stone, I've been throwing up nonstop and can't keep any water down over the past week",RED
I have stage 3 kidney disease and my urination has decreased since this afternoon,YELLOW
"Good morning, I'd like to request a refill of my blood pressure medication",GREEN
I'm on dialysis and I have mild abdominal discomfort since yesterday,YELLOW
I have stage 3 kidney disease and my urine has turned dark like cola and I feel terrible for a few days now,RED
I have CKD and I've been vomiting blood since last night,RED
I've been throwing up nonstop and can't keep any water down since last night,RED
I had a kidney transplant last year and my urine has turned dark like cola and I feel terrible since yesterday,RED
"Hello, can I pay my bill online?",GREEN
I had a kidney transplant last year and I have heavy bleeding that won't stop since this afternoon,RED
"As a kidney patient, I've had a dull headache and feel a bit off this morning",YELLOW
I'm on dialysis and my abdominal pain is severe and I also have a high fever over the past week,RED
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy over the past week,RED
"Quick question - I get a mild headache sometimes, is that anything to worry about?",GREEN
"As a kidney patient, I'm going to the bathroom less often for the last two days",YELLOW
I have stage 3 kidney disease and I have heavy bleeding that won't stop for a few days now,RED
My doctor said I have reduced kidney function and I haven't been going to the bathroom as much for the last two days,YELLOW
I'm on dialysis and my blood pressure reads dangerously high with a pounding headache and blurry vision,RED
"As a kidney patient, I've been sleeping badly and feel restless since yesterday",YELLOW
I'm on dialysis and I've been really itchy all over for the last two days,YELLOW
My doctor said I have reduced kidney function and my urine has turned dark like cola and I feel terrible for a few days now,RED
I have CKD and I have a dull ache in my kidney area since this afternoon,YELLOW
Quick question - what documents do I need for my next visit?,GREEN
I have stage 3 kidney disease and I have some abdominal cramping since last night,YELLOW
"Hi, is there parking available at the clinic?",GREEN
"Good morning, what should my daily water intake be?",GREEN
"Since my kidney stone, I've been short of breath for the last two days",RED
"Hello, can you send me a copy of my prescription?",GREEN
"Since my kidney stone, I have severe pain in my side with a high fever and shaking chills since last night",RED
"Hello, can I get a medical certificate for work?",GREEN
Quick question - I'd like to request a refill of my blood pressure medication,GREEN
I have stage 3 kidney disease and I have a headache this morning,YELLOW
I have heavy bleeding that won't stop for the last two days,RED
"Please, when is my next follow-up scheduled?",GREEN
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills for the last two days,RED
I have CKD and my blood pressure reads dangerously high with a pounding headache and blurry vision,RED
"Hello, thank you for the help during my last visit",GREEN
I had a kidney transplant last year and my blood pressure has been higher than usual since yesterday,YELLOW
I'm on dialysis and blood is coming through my urine since this afternoon,RED
"Good morning, can I get a medical certificate for work?",GREEN
My doctor said I have reduced kidney function and I've had muscle cramps since this afternoon,YELLOW
I have stage 3 kidney disease and I've had trouble concentrating and feel foggy since last night,YELLOW
"As a kidney patient, I've been sleeping badly and feel restless since last night",YELLOW
"As a kidney patient, I fainted for the last two days",RED
I have some abdominal cramping over the past week,YELLOW
"Since my kidney stone, I've been peeing blood for the last two days",RED
I have some abdominal pain for a few days now,YELLOW
"As a kidney patient, I have a bit of a headache today, nothing too bad",YELLOW
I have CKD and I feel dizzy when I stand up for the last two days,YELLOW
I have CKD and there's blood when I pee for the last two days,RED
"As a kidney patient, I have some discomfort around my kidneys since yesterday",YELLOW
"Good morning, are my last lab results available yet?",GREEN
I have stage 3 kidney disease and blood is coming through my urine since yesterday,RED
"Hello, is brown rice okay for my diet?",GREEN
I have CKD and I've been really itchy all over since this afternoon,YELLOW
"As a kidney patient, I have mild abdominal discomfort since yesterday",YELLOW
I have stage 3 kidney disease and I'm peeing much less than before over the past week,YELLOW
"As a kidney patient, I have mild abdominal discomfort for the last two days",YELLOW
"Since my kidney stone, I feel severely confused since last night",RED
"Since my kidney stone, I have pain near my kidneys for a few days now",YELLOW
"My doctor said I have reduced kidney function and I have a sudden severe headache, the worst one of my life this morning",RED
My doctor said I have reduced kidney function and my blood pressure has been higher than usual since yesterday,YELLOW
How do I sign up for the patient portal?,GREEN
"As a kidney patient, I'm having chest pain since yesterday",RED
I'm on dialysis and there's blood when I pee since yesterday,RED
I have CKD and I've been peeing blood since yesterday,RED
I have stage 3 kidney disease and I have severe abdominal pain that won't go away for a few days now,RED
I have CKD and my side hurts near where my kidney is since yesterday,YELLOW
"Hello, can I reschedule my lab test to the morning?",GREEN
Can my family member pick up my medication?,GREEN
"Since my kidney stone, my heartbeat feels irregular and I'm very weak and dizzy for the last two days",RED
I had a kidney transplant last year and I've been feeling very tired and weak this morning,YELLOW
I have stage 3 kidney disease and I've been throwing up nonstop and can't keep any water down over the past week,RED
"As a kidney patient, there's a metallic taste in my mouth since this afternoon",YELLOW
I'm on dialysis and I'm extremely drowsy and can barely stay awake since last night,RED
I have stage 3 kidney disease and my abdominal pain is severe and I also have a high fever over the past week,RED
My urine smells different than usual since this afternoon,YELLOW
"Hello, I get a mild headache sometimes, is that anything to worry about?",GREEN
"Good morning, can I reschedule my lab test to the morning?",GREEN
"Since my kidney stone, I've been really itchy all over for a few days now",YELLOW
I have severe pain in my side with a high fever and shaking chills since this afternoon,RED
"As a kidney patient, I have severe abdominal pain that won't go away since yesterday",RED
"Hello, is a bit of an upset stomach after meals normal for my condition?",GREEN
My doctor said I have reduced kidney function and my face looks puffy for the last two days,YELLOW
I have stage 3 kidney disease and my urination has decreased since yesterday,YELLOW
"Please, is it safe for me to exercise at the gym?",GREEN
Can I switch to an evening dialysis slot?,GREEN
"Good morning, is the pharmacy open after 6 pm?",GREEN
"As a kidney patient, I've had trouble concentrating and feel foggy since this afternoon",YELLOW
"Since my kidney stone, I feel severely confused for the last two days",RED
I'm on dialysis and my urine has turned dark like cola and I feel terrible for a few days now,RED
Are my last lab results available yet?,GREEN
Can I take paracetamol for a mild headache?,GREEN
My heartbeat feels irregular and I'm very weak and dizzy over the past week,RED
I'm on dialysis and I've been short of breath since last night,RED
I have stage 3 kidney disease and my ankles leave a dent when I press them since last night,YELLOW
"Hello, how do I update my address in your records?",GREEN
"As a kidney patient, I fainted for a few days now",RED
There's a metallic taste in my mouth since yesterday,YELLOW
"Since my kidney stone, I've been peeing blood over the past week",RED
I had a kidney transplant last year and I've been sleeping badly and feel restless for a few days now,YELLOW
"Hi, should I take my phosphate binder before or after meals?",GREEN
"Good morning, I have a mild stomach ache after eating spicy food, is that normal?",GREEN
I have stage 3 kidney disease and my urine looks foamy for the last two days,YELLOW
I'm on dialysis and this is the worst headache I've ever had since last night,RED
Quick question - is it safe for me to exercise at the gym?,GREEN
I noticed blood in my urine this morning,RED
I have stage 3 kidney disease and I have severe abdominal pain that won't go away this morning,RED
Is it normal to get an occasional mild headache?,GREEN
"As a kidney patient, I have a sudden severe headache, the worst one of my life over the past week",RED
"As a kidney patient, I've had a headache on and off over the past week",YELLOW
"Hi, I have a mild stomach ache after eating spicy food, is that normal?",GREEN
My doctor said I have reduced kidney function and my abdominal pain is severe and I also have a high fever for the last two days,RED
I have stage 3 kidney disease and I've had trouble concentrating and feel foggy for the last two days,YELLOW
I had a kidney transplant last year and my legs and ankles have been swelling for a few days now,YELLOW
"Since my kidney stone, I have severe pain in my side with a high fever and shaking chills for a few days now",RED
"I have a mild stomach ache after eating spicy food, is that normal?",GREEN
I'm on dialysis and I fainted since this afternoon,RED
"Since my kidney stone, I can't catch my breath and my chest feels tight",RED
My doctor said I have reduced kidney function and I have some abdominal pain for the last two days,YELLOW
"Since my kidney stone, blood is coming through my urine this morning",RED
I'm on dialysis and I've been vomiting blood since this afternoon,RED
"Good morning, can I travel by plane next month?",GREEN
"Good morning, is a bit of an upset stomach after meals normal for my condition?",GREEN
My legs and ankles have been swelling since yesterday,YELLOW
Quick question - can I travel by plane next month?,GREEN
I have CKD and I have some discomfort around my kidneys since last night,YELLOW
Quick question - how do I update my address in your records?,GREEN
I had a kidney transplant last year and my blood pressure has been higher than usual for a few days now,YELLOW
"Hi, can you send me a copy of my prescription?",GREEN
I have stage 3 kidney disease and I have a headache since yesterday,YELLOW
"As a kidney patient, my back is hurting near my kidneys since last night",YELLOW
I'm on dialysis and I passed out this morning,RED
"My doctor said I have reduced kidney function and not peeing much lately, is that normal?",YELLOW
I have some discomfort around my kidneys over the past week,YELLOW
I've gained a few kilos since last night and feel bloated,YELLOW
"As a kidney patient, I have no urine output for a few days now",RED
"Good morning, do I need to fast before my blood test?",GREEN
I have CKD and there's blood in my urine and it won't stop,RED
"As a kidney patient, I have a dull ache in my kidney area since this afternoon",YELLOW
I had a kidney transplant last year and I've had a headache on and off since this afternoon,YELLOW
This is the worst headache I've ever had for the last two days,RED
I had a kidney transplant last year and I've been peeing blood for the last two days,RED
"Since my kidney stone, my urine has turned dark like cola and I feel terrible for a few days now",RED
"As a kidney patient, my hands and feet feel swollen this morning",YELLOW
I had a kidney transplant last year and I've been peeing blood since yesterday,RED
"Since my kidney stone, I'm peeing much less than before over the past week",YELLOW
"Since my kidney stone, my urine smells different than usual for the last two days",YELLOW
Quick question - thank you for the help during my last visit,GREEN
"Good morning, how do I update my address in your records?",GREEN
This is the worst headache I've ever had this morning,RED
"Good morning, can my family member pick up my medication?",GREEN
"Since my kidney stone, I feel severely confused for a few days now",RED
"As a kidney patient, I'm peeing much less than before since last night",YELLOW
"As a kidney patient, my urine output seems lower than normal for a few days now",YELLOW
I have crushing pain spreading to my arm and jaw,RED
Blood is coming through my urine since this afternoon,RED
I had a kidney transplant last year and my urine looks foamy for a few days now,YELLOW
I had a kidney transplant last year and I have crushing pain spreading to my arm and jaw,RED
I have stage 3 kidney disease and I feel nauseous and have lost my appetite since last night,YELLOW
My doctor said I have reduced kidney function and I've been vomiting blood for a few days now,RED
Is it fine to have yogurt on my diet?,GREEN
"Hi, can I eat bananas on my current diet?",GREEN
"I have stage 3 kidney disease and I have a sudden severe headache, the worst one of my life for the last two days",RED
Quick question - should I take my phosphate binder before or after meals?,GREEN
"Since my kidney stone, I have a dull ache in my kidney area this morning",YELLOW
"Hi, can my family member pick up my medication?",GREEN
I have stage 3 kidney disease and blood is coming through my urine for a few days now,RED
My doctor said I have reduced kidney function and I think I had a seizure for a few days now,RED
"Please, is there wheelchair access at the entrance?",GREEN
"As a kidney patient, I have a dull ache in my kidney area since yesterday",YELLOW
"Please, can I reschedule my lab test to the morning?",GREEN
"Hello, how many cups of fluid can I have daily?",GREEN
I'm on dialysis and I fainted for the last two days,RED
I passed out since this afternoon,RED
My doctor said I have reduced kidney function and I'm extremely drowsy and can barely stay awake this morning,RED
I feel nauseous and have lost my appetite over the past week,YELLOW
"Hi, does the clinic open on weekends?",GREEN
My urine output seems lower than normal since yesterday,YELLOW
"As a kidney patient, my face looks puffy since last night",YELLOW
My doctor said I have reduced kidney function and I've been vomiting blood since this afternoon,RED
"Hello, which foods are high in potassium that I should avoid?",GREEN
"Hi, is the pharmacy open after 6 pm?",GREEN
I'm on dialysis and I'm having chest pain for a few days now,RED
I have stage 3 kidney disease and there's a metallic taste in my mouth over the past week,YELLOW
"Hi, is it safe for me to exercise at the gym?",GREEN
"Good morning, can I pay my bill online?",GREEN
Do I need to fast before my blood test?,GREEN
"Hello, can I eat tomatoes with my condition?",GREEN
"Since my kidney stone, I think I had a seizure for a few days now",RED
My doctor said I have reduced kidney function and my urine smells different than usual since last night,YELLOW
Quick question - can I eat tomatoes with my condition?,GREEN
"As a kidney patient, I feel dizzy when I stand up over the past week",YELLOW
"Good morning, I get a mild headache sometimes, is that anything to worry about?",GREEN
I have stage 3 kidney disease and I have a mild headache since this afternoon,YELLOW
"Hello, I have a mild stomach ache after eating spicy food, is that normal?",GREEN
"As a kidney patient, I've been peeing blood this morning",RED
I have stage 3 kidney disease and I've been short of breath this morning,RED
I have stage 3 kidney disease and I'm not urinating as much as I used to since last night,YELLOW
I have CKD and my urine smells different than usual since last night,YELLOW
I had a kidney transplant last year and I have pain near my kidneys for a few days now,YELLOW
My doctor said I have reduced kidney function and my heartbeat feels irregular and I'm very weak and dizzy for the last two days,RED
Can I drink coffee on my dialysis days?,GREEN
"As a kidney patient, I've gained a few kilos since this afternoon and feel bloated",YELLOW
Quick question - I need to reschedule my appointment next week,GREEN
Quick question - how many cups of fluid can I have daily?,GREEN
I'm on dialysis and I have some discomfort around my kidneys over the past week,YELLOW
I'm on dialysis and I passed out over the past week,RED
